Treatment,Dung_Type,Pupa_Weight
Sucrose,Hay,0.1033
Sucrose,Hay,0.1758
Sucrose,Hay,NA
Sucrose,Hay,NA
MeM,Hay,0.1632
MeM,Hay,0.251
MeM,Hay,NA
DI Water,Hay,0.2152
DI Water,Hay,0.18
DI Water,Hay,NA
Sucrose,Grass,0.2409
Sucrose,Grass,0.2212
Sucrose,Grass,0.2317
Sucrose,Grass,0.2205
MeM,Grass,NA
MeM,Grass,NA
MeM,Grass,0.2686
,,NA
DI Water,Grass,0.2461
DI Water,Grass,0.1943
DI Water,Grass,0.2423
NA,NA,NA
Sucrose,Hay,0.2605
Sucrose,Hay,0.16
Sucrose,Hay,0.235
Sucrose,Hay,0.1331
MeM,Hay,0.1777
MeM,Hay,0.2143
MeM,Hay,0.232
MeM,Hay,0.2412
DI Water,Hay,NA
DI Water,Hay,0.1202
DI Water,Hay,0.1514
DI Water,Hay,0.2223
Sucrose,Grass,0.2059
Sucrose,Grass,0.1544
Sucrose,Grass,0.2193
Sucrose,Grass,0.2421
MeM,Grass,0.2454
MeM,Grass,0.225
MeM,Grass,0.2271
MeM,Grass,0.1872
DI Water,Grass,0.2303
DI Water,Grass,0.2325
DI Water,Grass,NA
DI Water,Grass,0.1933
Sucrose,Hay,NA
Sucrose,Hay,0.1473
Sucrose,Hay,0.1696
Sucrose,Hay,0.0993
MeM,Hay,0.2256
MeM,Hay,NA
MeM,Hay,NA
MeM,Hay,NA
DI Water,Hay,0.2015
DI Water,Hay,0.1511
DI Water,Hay,NA
DI Water,Hay,0.1403
Sucrose,Grass,NA
Sucrose,Grass,0.1893
Sucrose,Grass,0.2218
Sucrose,Grass,NA
MeM,Grass,0.2423
MeM,Grass,0.2616
MeM,Grass,0.1899
MeM,Grass,0.2062
DI Water,Grass,0.2598
DI Water,Grass,0.2434
DI Water,Grass,0.2094
DI Water,Grass,NA
Sucrose,Hay,0.2036
Sucrose,Hay,0.1683
Sucrose,Hay,0.1404
,,NA
MeM,Hay,NA
MeM,Hay,NA
,,NA
,,NA
DI Water,Hay,0.1769
DI Water,Hay,0.1987
,,NA
,,NA
Sucrose,Grass,0.1851
Sucrose,Grass,0.2259
Sucrose,Grass,NA
,,NA
MeM,Grass,0.2631
MeM,Grass,0.2582
MeM,Grass,0.2318
,,NA
DI Water,Grass,NA
DI Water,Grass,NA
,,NA
,,NA
Sucrose,Hay,
Sucrose,Hay,0.198
Sucrose,Hay,0.1085
Sucrose,Hay,0.1896
MeM,Hay,0.1946
MeM,Hay,0.1671
MeM,Hay,0.1193
MeM,Hay,NA
DI Water,Hay,
DI Water,Hay,0.1958
DI Water,Hay,0.148
DI Water,Hay,0.2008
Sucrose,Grass,0.1599
Sucrose,Grass,0.2618
Sucrose,Grass,0.1814
Sucrose,Grass,0.1967
MeM,Grass,NA
MeM,Grass,0.2266
MeM,Grass,NA
MeM,Grass,0.2329
DI Water,Grass,0.1943
DI Water,Grass,0.245
DI Water,Grass,0.2161
DI Water,Grass,NA
Sucrose,Hay,0.2824
Sucrose,Hay,NA
,,NA
,,NA
MeM,Hay,NA
MeM,Hay,0.2064
,,NA
,,NA
DI Water,Hay,0.2022
DI Water,Hay,0.1972
,,NA
,,NA
Sucrose,Hay,0.2195
Sucrose,Hay,0.2304
,,NA
,,NA
MeM,Hay,NA
MeM,Hay,0.2293
,,NA
,,NA
DI Water,Hay,0.1938
,,NA
,,NA
,,NA
